hrr_id,hrr_name,state,number_of_deaths_among_cancer_patients_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07_2,percent_of_cancer_patients_dying_in_hospital_2003_07_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_3,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_3
284,Hackensack,NJ,1352,39.7592,36.4298,43.3928,67.8314,63.484,72.4765,6.5846,6.2569,6.9124,21.5042,19.1099,24.1985,0.9955,0.8151,1.176,14.1154,12.1594,16.3861,7.4886,6.0821,9.2203,45.9348,42.4662,49.6866,7.0898,6.4848,7.6949,8.6534,7.1992,10.4013,60.773,56.7901,65.0352
285,Morristown,NJ,948,33.1948,29.6668,37.1424,61.7595,56.9157,67.0155,5.6189,5.2286,6.0093,26.5747,23.4397,30.1291,1.2891,1.0741,1.504,9.7165,7.8774,11.9849,9.0784,7.3213,11.2573,52.2177,47.8247,57.0141,7.8472,7.1266,8.5677,9.9714,8.1388,12.2166,59.9503,55.1517,65.1664
288,New Brunswick,NJ,1010,39.4865,35.6989,43.676,67.4078,62.4428,72.7675,6.9972,6.6186,7.3759,33.4118,29.9559,37.2665,1.9617,1.7532,2.1702,12.7227,10.625,15.2345,9.5753,7.7488,11.8325,45.428,41.4614,49.7742,6.648,5.949,7.3469,8.6768,7.0246,10.7177,61.2154,56.6146,66.19
289,Newark,NJ,1325,41.1406,37.7475,44.8388,65.8466,61.524,70.4728,7.1374,6.8059,7.4689,31.899,28.9396,35.1611,1.7423,1.5598,1.9248,13.8749,12.0077,16.0324,10.5768,8.8207,12.6826,44.1955,40.7298,47.9562,6.3709,5.7589,6.9828,8.78,7.2613,10.6162,61.8433,57.8023,66.1669
291,Paterson,NJ,353,33.7424,28.0514,40.588,62.7791,54.913,71.772,6.3188,5.6805,6.957,22.4158,17.8962,28.0768,1.3898,1.0384,1.7412,11.8909,8.7162,16.2219,5.8706,3.6965,9.3235,51.3052,44.3928,59.294,7.3456,6.1674,8.5239,8.4998,5.9034,12.2383,55.6693,48.4782,63.9272
292,Ridgewood,NJ,448,42.7506,36.9681,49.4377,68.1107,60.774,76.3332,7.0855,6.5186,7.6523,23.2427,19.0979,28.2871,1.4427,1.1307,1.7548,10.4168,7.72,14.0557,7.9534,5.6493,11.1974,42.1193,36.5553,48.5302,6.7298,5.6834,7.7762,5.6223,3.7969,8.3252,67.6589,60.4786,75.6918
293,Albuquerque,NM,806,27.0254,23.6421,30.893,59.7736,54.6851,65.3356,4.5841,4.1611,5.007,19.0932,16.2802,22.3923,0.8034,0.5706,1.0363,6.9338,5.2939,9.0818,4.7702,3.4961,6.5087,55.5615,50.6649,60.9314,9.5531,8.7723,10.3339,8.5937,6.8051,10.8523,35.6082,31.5716,40.161
295,Albany,NY,1979,30.1373,27.7729,32.703,60.9812,57.601,64.5598,5.4548,5.1834,5.7262,16.5348,14.8138,18.4558,0.6713,0.5219,0.8207,8.848,7.5897,10.3151,6.2928,5.261,7.527,54.5613,51.39,57.9282,8.9368,8.4358,9.4379,8.3776,7.1893,9.7623,56.4575,53.1792,59.9379
296,Binghamton,NY,484,28.1705,23.7744,33.3794,60.4332,53.8936,67.7663,5.4912,4.9459,6.0365,12.7045,9.882,16.3333,0.4891,0.1889,0.7893,6.9819,4.9346,9.8785,6.037,4.1919,8.6943,53.0289,46.9375,59.9108,8.6379,7.6313,9.6446,9.0886,6.7814,12.1809,40.9098,35.4878,47.16
297,Bronx,NY,648,38.1315,33.6306,43.2348,61.8002,55.984,68.2207,6.7734,6.3014,7.2455,18.4748,15.428,22.1233,1.0134,0.7535,1.2733,13.4889,11.0046,16.534,5.911,4.2194,8.2807,20.9739,17.7141,24.8334,3.9112,3.0398,4.7827,,,,58.4437,52.8605,64.6165
299,Buffalo,NY,1057,31.5307,28.2656,35.173,59.9947,55.4582,64.9023,5.5882,5.2181,5.9583,18.7362,16.2732,21.572,0.6766,0.4728,0.8803,8.043,6.4711,9.9967,6.0992,4.7301,7.8647,48.4819,44.4579,52.8702,7.7578,7.0746,8.4409,8.2028,6.6335,10.1435,43.6444,39.8123,47.8453
300,Elmira,NY,465,37.17,31.8954,43.3169,64.6303,57.645,72.4621,6.3472,5.7906,6.9037,19.1505,15.4957,23.6674,0.7345,0.4281,1.0408,7.5412,5.3295,10.6709,6.5265,4.472,9.5249,34.2527,29.3574,39.9642,5.7216,4.6943,6.749,5.3377,3.6045,7.9042,44.7662,39.0477,51.3223
301,East Long Island,NY,4075,42.542,40.4916,44.6962,64.6163,62.1233,67.2093,6.8467,6.6556,7.0377,20.8483,19.4443,22.3537,1.132,1.0269,1.2372,13.7842,12.6243,15.0507,6.1954,5.4283,7.0708,41.4648,39.5222,43.5028,6.5462,6.1936,6.8988,6.902,6.1233,7.7797,67.577,65.0175,70.2371
303,Manhattan,NY,3283,46.7109,44.3387,49.21,66.652,63.8406,69.5871,7.2936,7.0812,7.506,18.7866,17.3247,20.3718,0.9208,0.8038,1.0377,18.2265,16.7695,19.81,5.8336,4.9985,6.8082,31.3422,29.4682,33.3354,5.2215,4.8294,5.6135,4.4621,3.7738,5.2761,62.5075,59.8249,65.3105
304,Rochester,NY,769,25.3745,22.01,29.2533,58.0788,52.911,63.7514,5.0692,4.636,5.5024,17.2739,14.5393,20.5229,0.6304,0.3919,0.8689,6.1999,4.626,8.3094,3.7077,2.5407,5.4108,58.5992,53.4376,64.2594,8.9221,8.1224,9.7218,12.6975,10.4062,15.4933,35.7751,31.7175,40.3518
307,Syracuse,NY,1132,37.4304,33.9715,41.2415,60.1788,55.793,64.9094,5.7101,5.3524,6.0677,15.3722,13.2199,17.8748,0.6707,0.4738,0.8676,7.3253,5.8621,9.1537,6.0241,4.7437,7.65,41.5017,37.9269,45.4134,7.6182,6.9581,8.2784,4.6353,3.5386,6.072,44.0202,40.2442,48.1505
308,White Plains,NY,1023,37.8644,34.1833,41.9419,60.0936,55.4415,65.136,6.4145,6.0382,6.7907,20.3007,17.6628,23.3325,1.0178,0.8107,1.225,9.093,7.3708,11.2176,7.6038,6.0082,9.6233,37.1078,33.5644,41.0251,6.1978,5.5033,6.8923,4.9273,3.721,6.5246,58.4541,53.9721,63.3083
309,Asheville,NC,699,21.071,17.929,24.7637,55.2399,50.0146,61.0111,4.2302,3.776,4.6843,16.5563,13.7959,19.8689,0.6725,0.4225,0.9226,5.6079,4.078,7.7118,3.2731,2.1922,4.887,61.7985,56.239,67.9076,11.2855,10.4472,12.1239,7.7066,5.9125,10.0453,35.9133,31.616,40.7947
311,Charlotte,NC,1700,28.5165,26.096,31.1615,57.2229,53.7236,60.9502,5.2014,4.9086,5.4942,24.5666,22.3257,27.0324,1.2456,1.0844,1.4068,8.2786,7.0402,9.7349,5.023,4.0694,6.2001,58.37,54.7996,62.173,11.1385,10.598,11.6789,6.3963,5.2862,7.7396,45.2549,42.1439,48.5956
312,Durham,NC,1258,32.2575,29.2765,35.5421,58.8944,54.8004,63.2943,5.2573,4.9175,5.597,18.8177,16.5781,21.3598,0.7739,0.5868,0.9609,9.2279,7.7329,11.012,6.3087,5.0385,7.8992,49.4959,45.7089,53.5967,9.3555,8.7283,9.9827,5.8923,4.665,7.4425,37.2562,33.9772,40.8516
313,Greensboro,NC,440,34.0737,29.0697,39.9391,57.7055,51.0665,65.2077,5.0066,4.4348,5.5784,20.5969,16.7841,25.2758,0.9593,0.6445,1.2741,6.4144,4.455,9.2355,5.0054,3.2935,7.6072,55.9525,49.3439,63.4461,11.1347,10.0792,12.1902,5.9803,4.0698,8.7875,35.8614,30.5965,42.0322
314,Greenville,NC,823,36.6401,32.7645,40.974,62.9966,57.811,68.6472,5.6757,5.2566,6.0948,24.3351,21.2149,27.9142,1.1598,0.929,1.3905,8.8424,7.1037,11.0067,5.2281,3.8861,7.0336,43.373,39.0522,48.172,7.8967,7.1231,8.6704,4.1989,2.9832,5.9102,34.3855,30.5758,38.6699
315,Hickory,NC,269,23.6861,18.5698,30.2121,52.6689,44.7505,61.9885,4.4691,3.7383,5.1999,17.2403,12.95,22.952,0.7622,0.3599,1.1646,,,,,,,64.135,55.2218,74.4869,12.51,11.161,13.859,6.9256,4.4156,10.8623,35.9306,29.2503,44.1367
318,Raleigh,NC,1339,35.2849,32.2561,38.5981,63.3687,59.2279,67.799,5.3448,5.0153,5.6743,22.6989,20.2979,25.384,0.8546,0.6732,1.036,9.3229,7.8732,11.0395,8.4215,6.9958,10.1377,49.8371,46.1475,53.8217,9.3664,8.7582,9.9747,6.1126,4.8911,7.6392,41.8418,38.5016,45.4717
319,Wilmington,NC,420,28.3141,23.7508,33.7541,60.1143,53.1948,67.9339,4.8356,4.2501,5.4211,13.6148,10.5671,17.5415,0.3241,0.0017,0.6464,7.1472,5.0772,10.0611,4.7234,3.077,7.2505,62.0333,54.8394,70.1709,11.1764,10.0956,12.2572,7.7585,5.4828,10.9787,42.087,36.2765,48.8283
320,Winston-Salem,NC,913,32.73,29.2344,36.6436,58.8286,54.0709,64.005,5.2295,4.8317,5.6272,20.7805,18.0365,23.942,0.8288,0.6098,1.0477,7.5796,6.0013,9.573,3.7935,2.7338,5.2639,52.7243,48.1931,57.6816,10.2871,9.5529,11.0213,5.267,3.9665,6.9939,39.7378,35.7893,44.122
321,Bismarck,ND,262,22.5514,17.4301,29.1774,61.4221,52.622,71.6938,4.0469,3.3063,4.7874,10.1525,6.9111,14.9141,0.1813,-0.2264,0.5889,4.5381,2.5123,8.1974,,,,34.75,28.3236,42.6345,5.6655,4.2985,7.0324,5.992,3.6694,9.7848,36.9003,30.1058,45.2282
322,Fargo/Moorhead MN,ND,485,26.3885,22.1825,31.3919,55.1211,48.9009,62.1325,4.4361,3.8912,4.981,14.5818,11.5514,18.4072,0.5292,0.2292,0.8291,4.7385,3.1184,7.2002,6.1622,4.3045,8.8216,50.4707,44.5194,57.2176,9.5278,8.522,10.5336,4.0085,2.5848,6.2163,33.569,28.7402,39.2092
323,Grand Forks,ND,162,29.2612,21.9801,38.9541,54.7366,44.462,67.3854,4.0942,3.1529,5.0356,12.5204,8.076,19.4104,0.3965,-0.1218,0.9147,,,,,,,41.1789,32.4059,52.327,7.4265,5.6888,9.1643,,,,32.0919,24.3182,42.3505
324,Minot,ND,136,29.4206,21.492,40.2742,59.1912,47.6028,73.6006,4.4204,3.3932,5.4476,11.9981,7.3494,19.5874,0.2563,-0.3092,0.8218,,,,12.606,7.8325,20.2887,41.1121,31.7088,53.3039,5.73,3.8339,7.6261,,,,24.1039,16.9491,34.2789
325,Akron,OH,592,21.4048,17.9813,25.4802,63.888,57.7463,70.683,4.8837,4.3903,5.3771,21.7061,18.2574,25.8063,0.7257,0.454,0.9973,5.5517,3.9444,7.814,5.4831,3.874,7.7605,65.9933,59.7326,72.9103,9.5275,8.6168,10.4383,11.2784,8.8533,14.3677,48.9752,43.6302,54.975
326,Canton,OH,547,27.4081,23.3206,32.212,61.6642,55.3883,68.6512,5.1151,4.6019,5.6282,30.2529,25.9462,35.2745,1.5521,1.2696,1.8347,9.2896,7.0157,12.3005,6.2856,4.4871,8.8051,50.2377,44.645,56.531,8.6823,7.735,9.6296,8.3373,6.2403,11.139,45.1002,39.7948,51.113
327,Cincinnati,OH,1351,17.8447,15.7239,20.2517,61.2779,57.2192,65.6246,4.6623,4.3344,4.9901,24.6126,22.0924,27.4203,1.1285,0.9481,1.309,10.2616,8.6832,12.1268,6.2606,5.0474,7.7654,71.0748,66.68,75.7592,10.8377,10.2325,11.4429,15.1052,13.139,17.3658,48.4785,44.8558,52.3938
328,Cleveland,OH,2249,22.8851,20.9644,24.9817,58.8702,55.7352,62.1816,5.0032,4.748,5.2585,26.2413,24.1749,28.4842,1.2175,1.077,1.358,9.0596,7.8847,10.4096,3.6687,2.9217,4.6067,64.1521,60.8813,67.5986,10.4236,9.9524,10.8947,11.0189,9.6929,12.5263,51.2308,48.3368,54.298
329,Columbus,OH,2609,26.245,24.3275,28.3136,60.0755,57.1321,63.1705,4.7873,4.5501,5.0245,22.1678,20.4132,24.0731,1.0257,0.8951,1.1563,9.6688,8.5305,10.9589,4.4811,3.7401,5.3689,56.7399,53.8909,59.7395,9.4805,9.0426,9.9184,8.2557,7.2114,9.4514,44.888,42.3688,47.5571
330,Dayton,OH,1019,25.3424,22.4189,28.6473,59.3657,54.7848,64.3296,4.9609,4.584,5.3378,23.5933,20.7864,26.7792,1.2163,1.0088,1.4238,11.3181,9.4304,13.5837,6.6035,5.1903,8.4015,56.1047,51.6627,60.9285,9.1216,8.4259,9.8173,9.4582,7.727,11.5774,46.8228,42.8119,51.2096
331,Elyria,OH,236,20.0643,15.0252,26.7935,59.9012,50.6876,70.7895,5.1392,4.359,5.9194,31.087,24.6663,39.179,1.6305,1.201,2.06,12.569,8.7291,18.0982,5.406,3.0684,9.5244,68.2978,58.5379,79.6848,11.2151,9.7748,12.6553,11.2182,7.6338,16.4857,56.3353,47.7181,66.5085
332,Kettering,OH,334,23.4764,18.7981,29.319,62.4472,54.4822,71.5765,4.7709,4.1147,5.4271,25.7375,20.8256,31.808,1.1059,0.7447,1.4672,12.2465,8.9764,16.708,4.5044,2.7137,7.4767,64.1033,56.0511,73.3124,9.9434,8.7321,11.1547,12.7565,9.4533,17.2139,48.0677,41.2303,56.0389
334,Toledo,OH,930,23.7262,20.7533,27.125,60.1514,55.3052,65.4223,4.6323,4.2379,5.0267,24.5032,21.4814,27.95,0.9259,0.7087,1.143,7.697,6.0733,9.7547,5.2645,3.9507,7.0151,64.1708,59.2114,69.5455,10.8563,10.1283,11.5844,8.9904,7.2425,11.1602,48.5029,44.2513,53.1631
335,Youngstown,OH,767,29.2182,25.5801,33.3738,62.5717,57.1493,68.5086,5.3681,4.9341,5.8021,20.9614,17.9248,24.5123,0.918,0.679,1.1569,8.6547,6.7676,11.0679,5.4741,3.9953,7.5001,50.9894,46.1674,56.315,8.5148,7.7137,9.316,7.9077,6.1342,10.1938,48.6542,43.991,53.8118
336,Lawton,OK,243,26.398,20.6939,33.6745,56.4265,47.687,66.7676,4.5944,3.8253,5.3636,17.7488,13.2036,23.8588,1.0276,0.6042,1.4511,5.6182,3.3256,9.4914,6.8962,4.3409,10.9557,55.626,46.9507,65.9041,11.1684,9.7486,12.5883,6.5799,4.0288,10.7465,21.8421,16.7651,28.4567
339,Oklahoma City,OK,1664,33.3028,30.6271,36.2122,61.178,57.5033,65.0876,5.3814,5.0855,5.6774,20.051,18.0055,22.3288,0.9518,0.7888,1.1147,9.3422,7.9694,10.9516,7.3503,6.1643,8.7646,51.863,48.484,55.4775,9.9817,9.4354,10.528,5.0169,4.0466,6.2199,27.6005,25.1811,30.2525
340,Tulsa,OK,1179,30.652,27.6338,33.9998,61.8227,57.4776,66.4963,5.0951,4.7445,5.4457,19.5191,17.1465,22.22,0.7673,0.5743,0.9604,8.9311,7.361,10.8361,6.2432,4.9714,7.8403,55.492,51.3802,59.9329,10.3707,9.7235,11.0179,6.4671,5.1676,8.0935,37.3511,33.9733,41.0646
341,Bend,OR,122,17.6566,11.6242,26.8195,55.4576,43.8705,70.105,3.1211,2.0366,4.2056,10.5419,6.1203,18.1579,0.1728,-0.4242,0.7699,,,,,,,73.0585,59.345,89.9411,11.626,9.624,13.6279,9.4093,5.3417,16.5743,18.8718,12.303,28.9476
342,Eugene,OR,530,26.5745,22.5488,31.3189,56.2524,50.2694,62.9474,3.7881,3.267,4.3093,19.1277,15.7623,23.2115,0.6735,0.3865,0.9604,5.5778,3.8739,8.031,3.3098,2.1097,5.1927,57.7241,51.593,64.5837,10.2037,9.2416,11.1658,7.3088,5.3578,9.9702,19.6026,16.0776,23.9005
343,Medford,OR,430,24.5894,20.3201,29.7556,55.7317,49.1365,63.2122,3.9933,3.4149,4.5718,17.2278,13.7128,21.6438,0.6819,0.3634,1.0004,7.0595,4.903,10.1646,4.0527,2.5516,6.437,58.9273,52.1206,66.6229,10.389,9.3211,11.4568,6.7386,4.7087,9.6435,23.4553,19.1977,28.657
344,Portland,OR,1021,20.2259,17.6428,23.1871,56.241,51.8553,60.9976,3.9661,3.5899,4.3423,15.9075,13.6375,18.5554,0.4654,0.2583,0.6726,7.0836,5.5905,8.9755,3.6206,2.6322,4.9801,64.4004,59.6597,69.5178,11.0042,10.3098,11.6986,9.2848,7.61,11.3282,33.3516,29.8471,37.2676
345,Salem,OR,118,23.1581,15.9869,33.5462,55.8823,44.0554,70.8842,3.9102,2.8074,5.0129,19.1919,12.751,28.8863,0.7235,0.1164,1.3306,,,,,,,67.2012,53.895,83.7924,12.342,10.3063,14.3776,,,,28.4984,20.0391,40.5289
346,Allentown,PA,1336,25.0063,22.427,27.8822,63.3763,59.1969,67.8508,5.4361,5.1064,5.7659,24.8445,22.2782,27.7064,1.014,0.8325,1.1955,8.1596,6.7187,9.9096,6.9523,5.6326,8.5813,55.5817,51.7065,59.7474,8.5643,7.9557,9.173,10.8238,9.1901,12.748,60.5774,56.5486,64.8932
347,Altoona,PA,295,28.9697,23.4427,35.7999,55.7649,47.8415,65.0005,4.4691,3.771,5.1673,21.1337,16.5034,27.063,0.7015,0.3171,1.0858,9.442,6.471,13.7769,,,,50.4192,42.9076,59.2459,8.965,7.6763,10.2537,6.3453,4.0452,9.9532,37.9958,31.6386,45.6305
350,Danville,PA,534,30.2289,25.8541,35.3439,62.5746,56.188,69.6871,4.7538,4.2345,5.2732,20.6905,17.1418,24.9738,0.695,0.4091,0.981,6.5632,4.6631,9.2376,4.7409,3.201,7.0217,42.5905,37.4183,48.4778,7.1744,6.2157,8.1331,5.7077,4.0116,8.1209,38.7824,33.7961,44.5042
351,Erie,PA,828,28.0367,24.6109,31.9394,58.7663,53.7298,64.2748,4.5787,4.1609,4.9964,18.178,15.4732,21.3556,0.6715,0.4415,0.9015,7.6212,5.9122,9.8242,3.6696,2.5634,5.2532,45.8826,41.4963,50.7325,7.8322,7.061,8.6034,6.68,5.1363,8.6876,37.6653,33.7036,42.0926
352,Harrisburg,PA,989,27.7954,24.6578,31.3323,59.119,54.4815,64.1512,5.0873,4.705,5.4696,23.0563,20.2148,26.2971,1.12,0.9095,1.3304,9.3114,7.5487,11.4858,6.3742,4.9637,8.1853,50.859,46.6078,55.498,8.6485,7.9428,9.3543,7.9282,6.3536,9.893,54.075,49.651,58.8932
354,Johnstown,PA,189,33.8948,26.3646,43.5758,64.3435,53.7116,77.0798,5.5467,4.675,6.4185,17.5596,12.4144,24.8373,0.7109,0.231,1.1909,10.9212,6.9623,17.1311,6.5424,3.6211,11.8206,40.7138,32.6054,50.8387,7.6074,5.9982,9.2166,,,,43.0234,34.7737,53.2303
355,Lancaster,PA,558,17.112,13.9606,20.9748,50.1313,44.5429,56.4208,4.6014,4.0934,5.1095,26.7545,22.7376,31.4809,1.5362,1.2564,1.8159,7.5914,5.5648,10.3561,5.9499,4.204,8.4208,69.2021,62.6455,76.4449,12.3158,11.3779,13.2537,10.2242,7.8805,13.265,55.9911,50.1038,62.5703
356,Philadelphia,PA,3023,31.31,29.3193,33.4359,62.2462,59.4303,65.1956,5.7118,5.4908,5.9328,33.0632,31.0122,35.2499,1.8539,1.7322,1.9756,11.9717,10.7684,13.3095,6.4014,5.4948,7.4577,56.2899,53.6434,59.0669,8.5168,8.1089,8.9247,10.6781,9.5333,11.9605,65.2417,62.3713,68.2441
357,Pittsburgh,PA,2765,29.2854,27.2759,31.4429,66.6854,63.6368,69.88,5.8607,5.6298,6.0916,27.4364,25.4993,29.5206,1.2923,1.1652,1.4195,10.3317,9.1504,11.6656,5.5359,4.6789,6.5499,50.0424,47.4529,52.7731,7.6275,7.2013,8.0537,8.937,7.8706,10.1479,56.1314,53.3685,59.0372
358,Reading,PA,628,30.1287,26.0737,34.8145,64.7142,58.6635,71.3891,5.9211,5.4419,6.4003,20.7268,17.4216,24.659,0.8638,0.5999,1.1276,10.1428,7.8686,13.0742,6.3502,4.635,8.7001,46.3091,41.2951,51.9318,6.872,5.9874,7.7566,8.6859,6.6631,11.3228,59.9742,54.1997,66.3638
359,Sayre,PA,239,25.5713,19.9311,32.8074,59.6946,50.7191,70.2586,4.834,4.0587,5.6093,18.597,13.8813,24.9148,0.7702,0.3434,1.1971,5.6198,3.2618,9.6823,4.8396,2.7468,8.5269,56.5455,47.7593,66.9481,8.6531,7.2219,10.0843,9.6979,6.4967,14.4766,34.6907,27.8572,43.2005
360,Scranton,PA,430,22.3246,18.2129,27.3645,61.8216,54.7333,69.8279,4.6605,4.082,5.2391,17.264,13.6985,21.7575,0.5052,0.1867,0.8237,7.7105,5.4192,10.9705,6.0605,4.1229,8.9088,62.7151,55.7085,70.6028,9.0269,7.959,10.0949,13.4525,10.3913,17.4155,47.2012,41.1591,54.1301
362,Wilkes-Barre,PA,350,25.4423,20.5635,31.4787,65.4761,57.3933,74.6971,5.5965,4.9555,6.2376,19.9691,15.7115,25.3805,0.7039,0.351,1.0568,9.8969,6.9944,14.0039,6.2107,4.0464,9.5327,55.8141,48.5625,64.1486,7.4418,6.2585,8.6251,12.3798,9.1746,16.7046,50.4383,43.6175,58.3258
363,York,PA,388,29.3383,24.3701,35.3195,62.4588,55.039,70.8788,5.0644,4.4555,5.6733,22.4005,18.1262,27.6826,0.9956,0.6604,1.3308,7.3066,5.008,10.6603,5.724,3.7662,8.6995,45.7998,39.5505,53.0366,7.854,6.73,8.9779,7.6503,5.3458,10.9481,46.8814,40.4943,54.2758
364,Providence,RI,866,28.5682,25.1479,32.4538,62.9321,57.8238,68.4917,5.3316,4.9232,5.74,16.6309,14.0773,19.6478,0.7163,0.4914,0.9411,8.7867,6.9341,11.1341,6.4693,4.9117,8.5209,53.869,49.2149,58.9633,7.7374,6.9835,8.4913,11.1185,9.1028,13.5805,52.5638,47.853,57.7384
365,Charleston,SC,914,34.9564,31.355,38.9715,59.5726,54.7596,64.8086,5.2774,4.8796,5.6753,24.142,21.1824,27.5152,1.1907,0.9717,1.4097,9.2675,7.5537,11.3702,7.8584,6.2479,9.8841,55.1257,50.4537,60.2304,10.0819,9.3475,10.8163,6.0538,4.6211,7.9307,43.0578,39.0333,47.4972
