hrr_id,hrr_name,state,number_of_deaths_among_cancer_patients_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07,percent_of_cancer_patients_dying_in_hospital_2003_07_2,percent_of_cancer_patients_dying_in_hospital_2003_07_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_deaths_2003_07_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_deaths_2003_07_3,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,icu_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_2,percent_of_cancer_patients_receiving_chemotherapy_during_the_last_two_weeks_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_deaths_2003_07_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_deaths_2003_07_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_deaths_2003_07_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_deaths_2003_07_3
366,Columbia,SC,984,42.038,38.2318,46.2232,62.6513,57.9136,67.7766,6.4186,6.0349,6.8023,23.6542,20.8435,26.8439,1.2058,0.9946,1.417,8.7403,7.1606,10.6685,6.5361,5.1274,8.3319,47.6478,43.4526,52.248,8.2503,7.5421,8.9586,5.5799,4.2483,7.3289,30.673,27.3767,34.3661
367,Florence,SC,314,29.8195,24.4256,36.4045,60.5844,52.537,69.8644,5.2436,4.5663,5.9208,17.8259,13.7741,23.0695,0.9116,0.5388,1.2845,7.1412,4.8578,10.4979,4.2927,2.4903,7.3995,57.15,49.242,66.3279,10.7727,9.5225,12.0229,7.6395,5.0262,11.6114,35.0955,29.2206,42.1515
368,Greenville,SC,805,33.7703,30.0019,38.012,56.9385,51.9658,62.3872,5.5597,5.1362,5.9832,21.8905,18.9045,25.3481,1.0913,0.8582,1.3245,6.8305,5.2642,8.8629,6.295,4.791,8.271,58.2608,53.1816,63.825,11.3351,10.5533,12.1169,4.5092,3.2505,6.2552,47.3972,42.8232,52.4597
369,Spartanburg,SC,307,25.8517,20.7588,32.1941,54.6497,46.9937,63.5529,4.7319,4.0477,5.416,21.5473,16.9536,27.3855,1.1333,0.7567,1.51,4.6925,2.8277,7.787,3.6485,2.0708,6.4282,63.8196,55.4717,73.4237,12.3274,11.0645,13.5903,7.5407,5.0087,11.3526,42.3967,35.6423,50.4311
370,Rapid City,SD,170,18.5815,13.138,26.2804,51.355,41.7158,63.2215,3.5736,2.6547,4.4925,14.6134,9.8725,21.6311,0.7501,0.2442,1.256,,,,,,,60.1656,49.5921,72.9935,11.0138,9.3176,12.7101,6.219,3.4429,11.2336,34.4989,26.5446,44.8369
371,Sioux Falls,SD,834,22.2643,19.2619,25.7346,56.9232,52.044,62.2598,4.2831,3.8672,4.6989,14.4156,12.0404,17.2592,0.3945,0.1655,0.6234,3.4402,2.3581,5.0188,3.4648,2.4061,4.9894,51.0906,46.4708,56.1698,9.5824,8.8147,10.3501,6.7706,5.2308,8.7637,33.674,29.8428,37.997
373,Chattanooga,TN,646,21.7024,18.4233,25.5651,58.2025,52.6042,64.3966,4.6069,4.1342,5.0796,17.6792,14.7526,21.1864,0.6128,0.3526,0.873,5.0376,3.5967,7.0558,4.2885,2.9951,6.1403,66.1517,60.1094,72.8014,12.2085,11.336,13.0811,6.9183,5.161,9.2738,37.7757,33.3463,42.7934
374,Jackson,TN,429,34.1227,29.0154,40.1291,61.5053,54.4885,69.4258,5.4547,4.8753,6.0341,23.912,19.7209,28.9937,1.4826,1.1636,1.8016,7.6925,5.4922,10.7742,3.1589,1.8331,5.4438,47.5061,41.3752,54.5454,9.0134,7.9438,10.083,4.5238,2.8839,7.0962,31.3086,26.4386,37.0756
375,Johnson City,TN,259,42.6516,35.3679,51.4354,60.7109,51.9098,71.0041,5.6267,4.8819,6.3716,31.1193,24.9854,38.7591,2.0576,1.6475,2.4677,6.8837,4.2772,11.0787,5.0426,2.9261,8.6899,46.9707,39.3262,56.1011,9.2896,7.9145,10.6646,,,,51.8377,43.7206,61.4619
376,Kingsport,TN,457,33.1478,28.2768,38.8579,63.4814,56.5642,71.2445,5.1639,4.6025,5.7253,28.4187,23.9484,33.7235,1.2835,0.9744,1.5926,7.0293,4.9673,9.9473,5.0663,3.4199,7.5052,51.1968,45.0273,58.2115,9.1571,8.1208,10.1935,6.0102,4.1471,8.7105,40.3738,34.9673,46.6162
377,Knoxville,TN,1275,32.9054,29.9146,36.1953,61.8303,57.6503,66.3134,5.3825,5.045,5.72,22.5038,20.057,25.249,1.0654,0.8796,1.2512,8.1104,6.6899,9.8324,6.5824,5.3501,8.0986,49.8417,46.0748,53.9165,8.4962,7.8732,9.1192,6.5783,5.3126,8.1457,46.4467,42.8344,50.3638
379,Memphis,TN,1638,36.0979,33.3166,39.1113,64.5497,60.7537,68.583,5.8907,5.592,6.1895,24.3884,22.1244,26.884,1.1618,0.9974,1.3263,10.9145,9.4912,12.5513,7.883,6.61,9.4013,47.9037,44.6018,51.4502,8.5223,7.9709,9.0738,6.27,5.1267,7.6683,45.8348,42.645,49.2632
380,Nashville,TN,2082,31.6946,29.3542,34.2217,65.8632,62.4325,69.4824,5.276,5.0108,5.5411,24.6754,22.6235,26.9134,1.1861,1.0401,1.332,8.7887,7.6025,10.16,6.8233,5.798,8.0298,46.4126,43.5447,49.4693,7.647,7.1576,8.1364,6.3085,5.3085,7.4968,35.1831,32.7151,37.8372
382,Abilene,TX,371,22.5904,18.1878,28.0587,63.2719,55.6041,71.9971,5.5712,4.9485,6.194,22.9731,18.5424,28.4626,0.928,0.5852,1.2709,6.3816,4.2382,9.609,7.0093,4.768,10.3042,59.3077,51.9845,67.6625,9.0022,7.8527,10.1517,13.2159,9.9803,17.5004,27.0844,22.2997,32.8956
383,Amarillo,TX,343,17.8294,13.8684,22.9217,54.6758,47.365,63.1149,4.1716,3.5241,4.8192,15.7594,12.0659,20.5835,0.6018,0.2453,0.9584,7.7235,5.2555,11.3505,7.8208,5.3947,11.3379,70.049,61.7401,79.476,11.6332,10.4378,12.8286,12.3892,9.1811,16.7182,26.8623,21.8913,32.9621
385,Austin,TX,738,22.9508,19.7565,26.6615,58.318,53.0612,64.0956,4.3808,3.9387,4.8229,22.4786,19.314,26.1618,0.9701,0.7266,1.2135,7.0818,5.406,9.2771,7.7805,6.0209,10.0543,63.5495,58.0099,69.6181,10.5906,9.7745,11.4068,10.2048,8.1309,12.8077,47.2606,42.5253,52.5231
386,Beaumont,TX,547,30.1599,25.9018,35.118,64.7281,58.2795,71.8904,5.9673,5.4537,6.4808,32.5578,28.1357,37.6749,2.1465,1.8638,2.4292,10.9365,8.5503,13.9886,6.2185,4.4161,8.7565,54.6668,48.7454,61.3075,9.0499,8.1019,9.9978,7.3946,5.3984,10.1291,43.4186,38.3456,49.1627
388,Bryan,TX,153,31.3919,23.7863,41.4293,59.6106,48.6401,73.0555,4.2989,3.3303,5.2675,24.0278,17.4787,33.0308,1.1254,0.5921,1.6586,11.6561,7.4309,18.2838,6.9412,3.8416,12.5418,47.9426,38.0492,60.4085,9.0568,7.2687,10.8448,7.3147,4.0493,13.2132,33.3098,25.2409,43.9582
390,Corpus Christi,TX,381,30.0919,25.0141,36.2006,65.6249,57.8703,74.4187,5.8601,5.2454,6.4748,20.1489,16.1083,25.203,0.9028,0.5643,1.2412,11.5854,8.6138,15.5823,7.4099,5.1109,10.7432,51.2006,44.4673,58.9534,8.4647,7.3299,9.5995,5.8313,3.8372,8.8618,35.4684,30.1281,41.7552
391,Dallas,TX,2578,26.5173,24.593,28.5922,60.9952,58.0228,64.1199,5.1204,4.8818,5.359,24.7575,22.8969,26.7692,1.2194,1.0881,1.3508,8.9583,7.8756,10.1899,6.6985,5.766,7.7819,61.775,58.7661,64.938,10.0741,9.6336,10.5146,9.7837,8.6264,11.0963,45.6086,43.0451,48.3248
393,El Paso,TX,638,31.6413,27.5458,36.3458,62.9432,57.0622,69.4304,5.9386,5.4636,6.4137,29.1741,25.2379,33.7241,1.5415,1.2799,1.803,11.4812,9.1064,14.4753,4.8857,3.4882,6.8432,53.9865,48.5983,59.9722,9.0981,8.2211,9.9751,6.0531,4.4203,8.2892,42.2193,37.4326,47.618
394,Fort Worth,TX,1073,23.179,20.4858,26.2262,60.6176,56.1256,65.4692,4.6995,4.3322,5.0668,26.8483,23.9311,30.1211,1.2385,1.0363,1.4407,8.2282,6.6927,10.1158,7.407,5.9793,9.1757,67.8561,63.0536,73.0244,10.2865,9.6085,10.9645,13.2104,11.1927,15.5918,42.8653,39.117,46.9729
396,Harlingen,TX,372,37.5414,31.7007,44.4584,69.2394,61.1522,78.396,6.4611,5.8391,7.083,35.1177,29.5165,41.7818,2.43,2.0876,2.7724,16.6746,12.9072,21.5416,8.7489,6.1807,12.3843,48.4819,41.9325,56.0542,7.9816,6.8336,9.1297,6.1568,4.089,9.2703,49.0211,42.5676,56.453
397,Houston,TX,3341,26.5864,24.8828,28.4067,61.7232,59.072,64.4934,5.3069,5.0964,5.5175,28.5539,26.7769,30.4488,1.5834,1.4674,1.6993,10.4919,9.4569,11.6401,6.2958,5.4925,7.2166,60.8041,58.1566,63.5723,9.445,9.0563,9.8337,9.5224,8.4995,10.6684,49.5245,47.1735,51.9927
399,Longview,TX,207,23.0979,17.4015,30.659,56.7416,47.292,68.0794,4.6231,3.79,5.4562,30.8888,24.167,39.4801,1.8365,1.3778,2.2952,12.4547,8.535,18.1746,,,,66.8042,56.5255,78.952,12.3412,10.8033,13.8792,7.5162,4.529,12.4738,42.9547,34.9656,52.7693
400,Lubbock,TX,609,24.6701,21.0124,28.9644,56.8562,51.1401,63.2113,4.7669,4.2802,5.2535,19.7991,16.5595,23.6725,1.0774,0.8095,1.3453,5.9569,4.2937,8.2643,5.4067,3.8397,7.6131,67.138,60.9156,73.996,12.3427,11.4444,13.241,9.9667,7.7477,12.8214,32.7959,28.5875,37.6237
402,McAllen,TX,319,40.9495,34.4661,48.6525,69.3119,60.6241,79.2447,6.4444,5.7728,7.1159,41.0251,34.5484,48.7159,2.8287,2.459,3.1984,15.4844,11.6918,20.5072,8.962,6.259,12.8321,33.6053,27.799,40.6245,4.5274,3.2877,5.7671,6.8927,4.5356,10.4746,63.4575,55.672,72.3318
406,Odessa,TX,303,23.7348,18.864,29.8633,60.0004,51.9183,69.3408,5.4255,4.7367,6.1143,25.4845,20.4049,31.8285,1.3326,0.9534,1.7118,9.1976,6.3467,13.329,6.512,4.2424,9.9959,65.8982,57.3573,75.711,10.1341,8.8627,11.4055,11.008,7.8605,15.4158,25.4039,20.2537,31.8637
411,San Angelo,TX,139,18.0991,12.2276,26.79,46.298,36.3021,59.0464,3.5301,2.514,4.5463,14.4676,9.332,22.4294,0.6932,0.1338,1.2527,,,,,,,66.9207,54.6634,81.9264,13.2863,11.4106,15.1621,9.1617,5.3176,15.7847,22.8253,15.9566,32.6508
412,San Antonio,TX,1310,28.528,25.741,31.6167,63.7751,59.5398,68.3115,5.4922,5.1594,5.825,32.6165,29.6234,35.912,1.786,1.6028,1.9693,11.2118,9.5044,13.2259,10.7741,9.1172,12.7321,56.7316,52.7853,60.9728,9.1991,8.5847,9.8134,9.5637,8.0162,11.4099,45.1706,41.6894,48.9424
413,Temple,TX,179,22.1711,16.3209,30.1182,64.5449,53.8384,77.3806,4.4775,3.5818,5.3732,16.7935,11.8071,23.8857,0.6912,0.198,1.1843,8.0752,4.8659,13.4013,,,,67.1454,56.0919,80.3771,10.4839,8.8305,12.1374,12.7565,8.472,19.2079,38.7184,30.6242,48.9519
416,Tyler,TX,624,20.4634,17.2353,24.2961,61.846,55.9711,68.3375,4.5761,4.0952,5.0569,32.2929,28.1612,37.0308,1.7967,1.532,2.0614,7.5783,5.7384,10.008,7.3164,5.49,9.7503,64.4486,58.3835,71.1437,10.0234,9.1358,10.911,10.1028,7.8693,12.9701,38.5265,33.9669,43.6982
417,Victoria,TX,196,30.449,23.6832,39.1476,62.2163,52.0897,74.3115,6.2759,5.4197,7.132,25.4571,19.3397,33.5095,1.6478,1.1765,2.1192,9.2333,5.8139,14.6637,5.6926,3.1504,10.2862,47.3401,38.5403,58.1491,7.9084,6.3279,9.4888,6.5669,3.8112,11.3153,34.4214,27.2246,43.5207
418,Waco,TX,305,21.0367,16.4925,26.8329,59.249,51.2483,68.4986,4.5105,3.824,5.1969,17.8863,13.7283,23.3037,0.8937,0.5157,1.2716,8.5721,5.8753,12.5068,,,,64.9241,56.431,74.6955,11.1255,9.8583,12.3926,10.063,7.0321,14.4003,34.5474,28.4186,41.998
420,Wichita Falls,TX,242,19.8739,15.0588,26.2287,66.4925,56.9916,77.5773,5.1162,4.3456,5.8867,18.8027,14.1229,25.0334,0.693,0.2688,1.1172,5.5407,3.2799,9.3597,9.4551,6.3831,14.0055,61.4755,52.2886,72.2764,8.9951,7.5727,10.4175,13.97,9.9751,19.5647,29.8676,23.812,37.4632
421,Ogden,UT,146,12.5791,8.0225,19.7239,50.8973,40.7041,63.6431,3.5152,2.5237,4.5067,20.1119,14.0588,28.7712,0.8898,0.3439,1.4356,,,,,,,71.3114,58.779,86.5158,11.0801,9.2498,12.9103,9.1979,5.4453,15.5364,28.1881,20.5075,38.7454
422,Provo,UT,137,14.8781,9.5975,23.064,52.9581,42.0984,66.6193,3.4313,2.4079,4.4547,21.8374,15.1726,31.4298,0.8328,0.2694,1.3962,,,,,,,67.4348,55.0854,82.5528,12.4288,10.5397,14.318,9.3343,5.4184,16.0805,29.7139,21.6179,40.842
423,Salt Lake City,UT,781,19.3236,16.4951,22.6371,52.4147,47.6292,57.6811,3.4621,3.0325,3.8916,19.1895,16.3539,22.5169,0.6157,0.3792,0.8522,6.0458,4.5258,8.0764,4.8628,3.5774,6.61,60.8304,55.5903,66.5645,10.7274,9.9345,11.5203,9.27,7.3872,11.6326,28.1242,24.5186,32.2601
424,Burlington,VT,613,32.6792,28.428,37.5662,56.4823,50.8443,62.7453,4.6184,4.1336,5.1032,13.3196,10.7094,16.566,0.2908,0.0239,0.5578,6.6734,4.8728,9.1394,4.9846,3.522,7.0547,50.0722,44.7856,55.9828,8.9223,8.0273,9.8173,6.8308,5.0626,9.2165,33.9038,29.4849,38.9848
426,Arlington,VA,1029,28.3496,25.2543,31.8243,61.7624,57.1185,66.7838,5.4888,5.1139,5.8637,24.2408,21.3911,27.4702,1.2569,1.0505,1.4633,9.4259,7.7092,11.5248,6.3911,5.0059,8.1595,62.9041,58.2207,67.9643,10.1545,9.4625,10.8466,8.8201,7.167,10.8544,58.3753,53.8335,63.3003
427,Charlottesville,VA,546,27.393,23.3462,32.1412,58.0172,52.0029,64.727,4.1782,3.6647,4.6916,16.533,13.4577,20.311,0.624,0.3413,0.9067,6.7902,4.9169,9.3772,6.5043,4.6876,9.025,52.317,46.572,58.7707,10.1549,9.207,11.1027,5.9888,4.2553,8.4284,40.7252,35.5947,46.5954
428,Lynchburg,VA,284,35.2844,29.0232,42.8962,60.3048,51.9692,69.9774,4.8631,4.1518,5.5744,19.8893,15.3371,25.7927,0.5724,0.1808,0.964,5.4841,3.3583,8.9558,5.2502,3.1633,8.7138,42.2674,35.3108,50.5946,8.0694,6.7563,9.3824,,,,38.3544,31.5502,46.626
429,Newport News,VA,517,34.2495,29.5809,39.6548,61.9799,55.5621,69.1391,4.8187,4.2909,5.3465,21.9836,18.3033,26.4041,1.055,0.7645,1.3456,7.4876,5.509,10.1768,7.8472,5.7503,10.7086,44.1207,38.7186,50.2764,7.2803,6.306,8.2546,6.232,4.3803,8.8665,55.3554,49.2039,62.2758
430,Norfolk,VA,1151,33.0368,29.8881,36.5173,59.7601,55.4384,64.4188,5.1791,4.8239,5.5343,21.0866,18.6089,23.8942,0.979,0.7834,1.1745,8.8079,7.308,10.6157,6.142,4.8437,7.7883,48.5403,44.6182,52.8071,8.3399,7.6843,8.9956,6.2343,4.9105,7.9151,54.4027,50.2931,58.8481
431,Richmond,VA,1509,32.0876,29.344,35.0877,61.4574,57.6093,65.5626,5.3947,5.0841,5.7054,22.136,19.8834,24.6438,1.1244,0.9534,1.2954,7.5095,6.2792,8.9808,4.1321,3.2041,5.329,52.6568,49.0768,56.4979,8.9964,8.423,9.5699,7.3667,6.0825,8.9221,51.0157,47.4595,54.8383
432,Roanoke,VA,761,37.2018,33.1109,41.798,64.979,59.4696,70.9989,5.9428,5.5072,6.3784,27.0081,23.5612,30.9593,1.3821,1.1423,1.6219,8.1604,6.3688,10.4559,4.5984,3.3134,6.3817,45.7922,41.2001,50.8962,8.1848,7.3807,8.989,4.7524,3.4257,6.5929,42.0291,37.6916,46.8658
435,Winchester,VA,386,27.4551,22.728,33.1653,53.6789,46.8786,61.4657,3.7499,3.1394,4.3604,11.6784,8.7449,15.596,0.2656,-0.0705,0.6017,5.1842,3.3429,8.0396,5.359,3.5258,8.1453,59.9312,52.6673,68.1971,12.6743,11.5474,13.8013,4.5591,2.8711,7.2397,28.4492,23.5523,34.3642
437,Everett,WA,361,23.176,18.6853,28.7461,58.7225,51.3824,67.1111,4.1098,3.4788,4.7408,22.1407,17.7539,27.6115,0.7786,0.4313,1.126,7.9862,5.4743,11.6508,5.7559,3.7506,8.8335,49.6437,42.9063,57.4391,8.3085,7.1437,9.4732,8.3257,5.8523,11.8445,40.5724,34.2653,48.0403
438,Olympia,WA,256,33.0307,26.5964,41.0215,64.2443,55.1711,74.8097,4.5939,3.845,5.3428,25.4576,19.8825,32.5959,0.9243,0.512,1.3366,5.1263,2.9105,9.0291,12.6159,8.9626,17.7583,36.568,29.9348,44.671,6.6983,5.3158,8.0808,,,,32.1846,25.6224,40.4274
439,Seattle,WA,1647,29.042,26.5227,31.8005,59.5252,55.909,63.3753,4.3956,4.0987,4.6926,21.4866,19.3365,23.8758,0.7441,0.5806,0.9075,6.3776,5.2325,7.7733,5.5597,4.5211,6.837,48.5393,45.2838,52.0287,8.3617,7.8135,8.9098,6.4534,5.3389,7.8005,42.0589,38.9251,45.445
440,Spokane,WA,1227,25.1434,22.4747,28.1289,55.5515,51.5486,59.8653,4.0427,3.6992,4.3862,16.0998,13.9942,18.5223,0.5826,0.3935,0.7717,5.8131,4.5797,7.3788,5.4713,4.3232,6.9243,46.8648,43.1902,50.8519,8.509,7.8749,9.1431,5.4492,4.3003,6.9049,30.4297,27.374,33.8265
441,Tacoma,WA,455,28.4883,23.9309,33.9135,55.9936,49.454,63.398,4.3634,3.8009,4.926,26.3969,22.0285,31.6317,1.1036,0.7939,1.4133,9.6483,7.1249,13.0656,8.2527,5.9731,11.4024,55.0737,48.6639,62.3278,10.263,9.2245,11.3014,6.387,4.4357,9.1967,40.2453,34.87,46.4491
442,Yakima,WA,197,23.3734,17.5572,31.1163,56.321,46.8683,67.6803,3.891,3.0372,4.7448,24.5043,18.5143,32.4321,0.9479,0.4778,1.418,5.7456,3.1807,10.3788,6.7239,3.9796,11.3605,56.4922,46.8943,68.0544,9.3614,7.7852,10.9375,7.8308,4.7952,12.7882,31.869,24.6323,41.2318
443,Charleston,WV,1089,33.2733,30.0043,36.8985,66.309,61.5888,71.3909,5.6098,5.2446,5.975,24.0537,21.3159,27.143,1.0831,0.8821,1.2842,7.7203,6.2257,9.5737,4.1815,3.1372,5.5736,47.1542,43.2137,51.4539,8.4816,7.8074,9.1558,5.2687,4.0687,6.8226,36.8983,33.5198,40.6173
444,Huntington,WV,416,28.9947,24.2519,34.6649,64.4532,57.1523,72.6869,5.5065,4.9182,6.0949,15.466,12.1234,19.7302,0.6409,0.317,0.9648,7.3157,5.1113,10.4709,3.4384,2.0713,5.708,61.4085,54.2993,69.4485,10.1082,9.0221,11.1942,9.215,6.7273,12.6225,40.0179,34.4026,46.5498
445,Morgantown,WV,396,31.5086,26.3935,37.615,64.0772,56.5925,72.5517,5.8602,5.2573,6.4631,25.9792,21.3864,31.5583,1.3983,1.0664,1.7302,7.3735,5.0877,10.6863,7.3709,5.1171,10.6175,52.9459,46.2508,60.6102,9.4783,8.3654,10.5913,5.5017,3.6205,8.3604,38.1105,32.5626,44.6035
446,Appleton,WI,250,20.0902,15.2237,26.5122,52.5642,44.3429,62.3098,3.3079,2.55,4.0659,10.8878,7.4653,15.8794,0.1235,-0.2938,0.5407,,,,7.174,4.5732,11.2541,56.6408,48.0709,66.7385,10.4166,9.0175,11.8157,7.0258,4.4249,11.1555,29.2121,23.0677,36.9931
447,Green Bay,WI,505,24.5613,20.5614,29.3394,55.2623,49.1547,62.1289,4.1785,3.6447,4.7123,15.5846,12.4612,19.491,0.42,0.1261,0.7139,2.7861,1.6172,4.7998,7.2319,5.2124,10.034,52.1866,46.2778,58.8499,9.9003,8.9149,10.8857,4.8442,3.2718,7.1724,31.1276,26.488,36.5798
448,La Crosse,WI,259,17.8055,13.2913,23.8529,48.9513,41.1302,58.2595,3.3035,2.5587,4.0484,11.7672,8.2256,16.8338,0.2837,-0.1263,0.6938,5.0254,2.8529,8.8522,,,,53.0786,44.9406,62.6903,10.2697,8.8948,11.6447,7.1606,4.5652,11.2316,25.638,20.0626,32.7629
449,Madison,WI,810,20.4142,17.5103,23.7996,53.7428,48.9405,59.0164,3.7431,3.3209,4.1652,13.0469,10.7712,15.8033,0.381,0.1486,0.6134,3.6642,2.5286,5.3097,4.3861,3.1464,6.1141,58.3704,53.3436,63.8707,11.3196,10.5404,12.0988,5.755,4.3339,7.6421,24.8172,21.5203,28.6194
450,Marshfield,WI,416,24.3466,20.0075,29.6268,57.7014,50.8612,65.4616,4.6925,4.1045,5.2805,10.7092,7.9676,14.3942,0.4052,0.0815,0.7289,4.8603,3.0989,7.623,5.4527,3.621,8.2109,52.5855,46.0808,60.0085,9.8111,8.7257,10.8965,3.9793,2.4728,6.4036,45.5662,39.36,52.751
451,Milwaukee,WI,2363,23.7919,21.8793,25.8716,60.1842,57.109,63.4249,4.8854,4.6368,5.1341,19.252,17.5394,21.1317,0.7967,0.6599,0.9336,7.9577,6.8753,9.2104,6.7526,5.7646,7.9099,59.9924,56.9299,63.2196,9.4746,9.0157,9.9336,9.9995,8.7892,11.3765,45.7899,43.0791,48.6713
452,Neenah,WI,238,21.6242,16.5171,28.3104,57.2284,48.4861,67.547,3.9631,3.1865,4.7398,12.3974,8.6665,17.7345,0.3433,-0.0843,0.7709,,,,7.2611,4.6286,11.3907,65.5584,56.0012,76.7467,11.1176,9.6838,12.5513,6.5337,4.0014,10.6685,32.9671,26.285,41.3478
456,Wausau,WI,201,29.8561,23.176,38.4617,61.1124,51.2054,72.9362,4.5578,3.7126,5.403,18.3891,13.3205,25.3866,0.6069,0.1416,1.0722,6.6884,3.8822,11.5231,7.5493,4.622,12.3305,59.8051,50.0364,71.481,10.8985,9.3382,12.4587,7.7908,4.7709,12.7221,30.0866,23.4042,38.677
457,Casper,WY,192,29.8915,23.103,38.6747,62.3336,52.1904,74.4483,4.0134,3.1486,4.8782,15.5261,10.8531,22.2111,0.6551,0.179,1.1312,8.1044,4.8838,13.4489,,,,40.9752,32.8619,51.0917,8.6916,7.0952,10.288,,,,14.3946,9.7995,21.1446
999,United States,US,235821,28.8185,,,61.2583,,,5.0529,,,23.6904,,,1.3158,,,9.1527,,,6.0024,,,54.5749,,,8.6869,,,8.3356,,,46.1668,,
